year,state,state_SVI
2010,AK,6.690236149997953
2010,AL,7.029381338765551
2010,AR,7.214783276905115
2010,AZ,6.785084311415607
2010,CA,7.670379449414484
2010,CO,5.972827152651211
2010,CT,5.891786968154487
2010,DC,6.996679203019199
2010,DE,6.5140146001602215
2010,FL,7.129377753142702
2010,GA,7.179234431549107
2010,HI,6.826302189753654
2010,IA,5.9537963467425135
2010,ID,6.711550259137266
2010,IL,6.630156989701224
2010,IN,6.408984118860123
2010,KS,6.145917400835415
2010,KY,6.643916376848857
2010,LA,7.349418554580423
2010,MA,5.9527364730882555
2010,MD,5.901364859150034
2010,ME,5.84615345331842
2010,MI,6.589999085508488
2010,MN,5.934654566423638
2010,MO,6.37528704095601
2010,MS,7.663300113828437
2010,MT,6.050938391704553
2010,NC,7.108081374452665
2010,ND,5.670979522997415
2010,NE,5.953761319319657
2010,NH,5.192250694743059
2010,NJ,6.414759849655666
2010,NM,7.593606012458906
2010,NV,6.779183808147852
2010,NY,7.064149611443328
2010,OH,6.313767281756395
2010,OK,6.796912938673168
2010,OR,6.990463434757472
2010,PA,6.206661478643986
2010,RI,6.3195091417706895
2010,SC,7.131322284291477
2010,SD,6.233452461324942
2010,TN,6.637685058871419
2010,TX,7.533871720183677
2010,UT,5.941740310796632
2010,VA,6.013944410864845
2010,VT,5.602562341553131
2010,WA,6.588619760963377
2010,WI,6.034175807093237
2010,WV,6.390207121950106
2010,WY,5.823474821061661
2014,AK,7.100043973949866
2014,AL,7.651904202608977
2014,AR,7.849474695863911
2014,AZ,7.638121298973251
2014,CA,8.086168157395367
2014,CO,6.437885658460283
2014,CT,6.4540990592288034
2014,DC,7.469988170784048
2014,DE,7.036240959370161
2014,FL,7.722097311361428
2014,GA,7.633767459806075
2014,HI,7.270863474796623
2014,IA,6.391141689981794
2014,ID,7.393177944799008
2014,IL,6.940206461646965
2014,IN,6.995650659244734
2014,KS,6.72656905063267
2014,KY,7.414604717571714
2014,LA,7.93777157238328
2014,MA,6.512317053693462
2014,MD,6.37009773129956
2014,ME,6.668006246730421
2014,MI,7.039324606386281
2014,MN,6.367829458002649
2014,MO,6.950581841168243
2014,MS,8.390558882501855
2014,MT,6.651422833183284
2014,NC,7.748388334805078
2014,ND,6.030980589849984
2014,NE,6.507981882468203
2014,NH,5.788864947780926
2014,NJ,6.759578329755039
2014,NM,8.36743219104027
2014,NV,7.60175996496938
2014,NY,7.4622068655901215
2014,OH,6.715343245273945
2014,OK,7.572010421511601
2014,OR,7.781547969511391
2014,PA,6.684187292323899
